,eye fix,x start (pixels),y start (pixels),x end (pixels),y end (pixels),start diff (start trail- start event),end diff (end trail- send event),duration of fixation,,amplitude in pixels,amplitude in degrees,write peak velocity deg/s,write average velocity deg/s,,,,trail number
0,1,1037.300049,514.7999878,1038.599976,517.2000122,0,145,145,0,2.729455397,0.070528562,13.19999981,3.599999905,0,0,0,1
0,3,1281.699951,400.7000122,1277.199951,407.2999878,197,251,54,0,7.988096002,0.2032074,38.29999924,9.600000381,0,0,0,1
0,5,1328.400024,314.2999878,1349.900024,335.3999939,285,387,102,0,30.12408102,0.757801002,41.20000076,8.899999619,0,0,0,1
0,7,1241.400024,804,1316.300049,842.2000122,465,761,296,0,84.07885935,2.105693458,53.40000153,18.70000076,0,0,0,1
0,9,592.9000244,794.2999878,612.7999878,798.2999878,831,1015,184,0,20.29799356,0.509434807,42.70000076,6.300000191,0,0,0,1
0,11,588.4000244,151.6000061,583.7999878,175.6000061,1077,1247,170,0,24.4368643,0.610131978,20.20000076,5.900000095,0,0,0,1
0,13,560.5,175.8000031,555.9000244,174.1000061,1259,2000,741,0,4.904055976,0.122180052,32.59999847,3.5,0,0,0,1
0,17,750.9000244,216,754.2000122,221,0,137,137,0,5.990819596,0.15228706,32.59999847,3.599999905,0,0,0,2
0,19,1273.800049,304,1289.199951,313,193,335,142,0,17.8369558,0.449873853,53.29999924,9,0,0,0,2
0,21,1373,317.2999878,1375.300049,318.1000061,361,461,100,0,2.435211266,0.060794796,32.20000076,7.800000191,0,0,0,2
0,23,1262.900024,812.7999878,1322.5,848,525,917,392,0,69.21847982,1.735927259,53.70000076,17.10000038,0,0,0,2
0,25,612.9000244,792.0999756,629.7000122,796.4000244,983,1113,130,0,17.34156884,0.43636767,34.5,5.699999809,0,0,0,2
0,27,588.0999756,817.5,589.9000244,810.0999756,1135,1277,142,0,7.615808369,0.191311907,28.70000076,4.400000095,0,0,0,2
0,29,537,192.1999969,538.5999756,206.1999969,1337,1471,134,0,14.09112919,0.352690929,29.20000076,5.099999905,0,0,0,2
0,30,552.4000244,176.3999939,552.4000244,176.3999939,1485,2000,515,0,579.8816645,28.8632123,0,0,0,0,0,2
